State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Washington,King,53,033,1980-05-13,69,Moderate,SO2,53-033-0014,12
Washington,King,53,033,1980-05-14,121,Unhealthy for Sensitive Groups,SO2,53-033-0014,11
Washington,King,53,033,1980-05-15,62,Moderate,CO,53-033-0051,12
Washington,King,53,033,1980-05-16,116,Unhealthy for Sensitive Groups,SO2,53-033-0014,12
Washington,King,53,033,1980-05-17,43,Good,SO2,53-033-2001,12
Washington,King,53,033,1980-05-18,69,Moderate,SO2,53-033-0057,11
Washington,King,53,033,1980-05-19,69,Moderate,SO2,53-033-0057,11
Washington,King,53,033,1980-05-20,65,Moderate,CO,53-033-0077,11
Washington,King,53,033,1980-05-21,50,Good,CO,53-033-0051,11
Washington,King,53,033,1980-05-22,81,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-05-23,56,Moderate,CO,53-033-0051,12
Washington,King,53,033,1980-05-24,56,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-05-25,69,Moderate,SO2,53-033-0013,12
Washington,King,53,033,1980-05-26,134,Unhealthy for Sensitive Groups,SO2,53-033-0014,11
Washington,King,53,033,1980-05-27,81,Moderate,SO2,53-033-0013,11
Washington,King,53,033,1980-05-28,56,Moderate,SO2,53-033-0057,10
Washington,King,53,033,1980-05-29,107,Unhealthy for Sensitive Groups,SO2,53-033-0013,11
Washington,King,53,033,1980-05-30,116,Unhealthy for Sensitive Groups,SO2,53-033-0013,11
Washington,King,53,033,1980-05-31,94,Moderate,SO2,53-033-0014,12
Washington,King,53,033,1980-06-01,34,Good,CO,53-033-0077,13
Washington,King,53,033,1980-06-02,116,Unhealthy for Sensitive Groups,SO2,53-033-0014,13
Washington,King,53,033,1980-06-03,43,Good,SO2,53-033-0014,13
Washington,King,53,033,1980-06-04,81,Moderate,SO2,53-033-0013,13
Washington,King,53,033,1980-06-05,94,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-06-06,108,Unhealthy for Sensitive Groups,NO2,53-033-0080,13
Washington,King,53,033,1980-06-07,79,Moderate,NO2,53-033-0080,13
Washington,King,53,033,1980-06-08,178,Unhealthy,SO2,53-033-0013,12
Washington,King,53,033,1980-06-09,130,Unhealthy for Sensitive Groups,SO2,53-033-0014,12
Washington,King,53,033,1980-06-10,178,Unhealthy,SO2,53-033-0014,13
Washington,King,53,033,1980-06-11,186,Unhealthy,SO2,53-033-0013,13
Washington,King,53,033,1980-06-12,81,Moderate,SO2,53-033-0057,13
Washington,King,53,033,1980-06-13,116,Unhealthy for Sensitive Groups,SO2,53-033-0057,12
Washington,King,53,033,1980-06-14,81,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-06-15,130,Unhealthy for Sensitive Groups,SO2,53-033-0014,12
Washington,King,53,033,1980-06-16,94,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-06-17,69,Moderate,SO2,53-033-0013,13
